Hauptartikelnr;Artikelname;Hersteller;Beschreibung;Materialangaben;Geschlecht;Produktart;?rmel;Bein;Kragen;Herstellung;Taschenart;Grammatur;Material;Ursprungsland;Bildname
L01712;Ginger Man Sweater;SOL?S;Fitted cut, 1x1 Elasthan, Ripp an Saum und ?rmeln;;Herren;Pullover;;;Rundhals;;;;Viskose;;l01712.jpg
L01713;Ginger Women Sweater;SOL?S;Fitted cut, 1x1 Elasthan, Ripp an Saum und ?rmeln;;Damen;Pullover;;;Rundhals;;;;Viskose;;l01713.jpg
L01714;Stone Sweat;SOL?S;Set-in-Sleeves, 2 K?ngurutaschen, Kapuze mit Ton-in-Ton Kordel, Gerader Schnitt, Seitenn?hte, Ripp an B?ndchen und Saum, Molton innen angeraut;;Herren;Pullover;;;Mit Kapuze;;;;Baumwollgemisch;;l01714.jpg
L01715;Griffith Sweater;SOL?S;Fitted cut, Ton-in-Ton Strickknopfleiste, 1x1 Elasthan, Ripp an Saum und ?rmeln;;Herren;Pullover;;;Knopfleiste;;;;Viskose;;l01715.jpg
L01716;Griffin Sweater;SOL?S;Fitted cut, Ton-in-Ton Strickknopfleiste, 1x1 Elasthan, Ripp an Saum und ?rmeln;;Herren;Pullover;;;Knopfleiste;;;;Viskose;;l01716.jpg
L01744;Gramercy Apron;SOL?S;Gro?e Vordertasche;;;Sch?rzen;;;;;;;Polyestergemisch;;l01744.jpg
L01825;Regent Women T-Shirts;SOL?S;Kurzarm, Fitted cut, Seitenn?hte, Nackenband, Rippkragen, Halbgek?mmte. ringgesponnene Baumwolle;;Damen;T-Shirts;Kurzarm;;Rundhals;;;;Baumwolle;;l01825.jpg
L01826;Justin Women Tee-Shirt;SOL?S;Halbgek?mmte Baumwolle, Racerback, Seitenn?hte, Feinribeinfassung;;Damen;T-Shirts;?rmellos;;Rundhals;;;;Baumwolle;;l01826.jpg
L01836;Murphy Men Tee-Shirt;SOL?S;Kurzarm, Eingefasster Kragen, Seitenn?hte, Gek?mmte. ringgesponnene Baumwolle;;Herren;T-Shirts;Kurzarm;;Rundhals;;;;Baumwolle;;l01836.jpg
L01837;Murphy Women Tee-Shirt;SOL?S;Eingefasster Kragen, Seitenn?hte, Gek?mmte. ringgesponnene Baumwolle;;Damen;T-Shirts;Kurzarm;;Rundhals;;;;Baumwolle;;l01837.jpg
